contentId,title,creator,category,platform,contentUrl,thumbnailUrl,createdAt,registeredAt
0,"간호사 탈임상 이야기-산업 간호사, 보건관리자가 되다.",하쿠나,보건관리자,네이버 블로그,https://m.blog.naver.com/cjh8858/222321358978,https://talliapp.com/image?num_images=309,2021-04-24 00:00:00,2023-06-06 22:22:48
1,[QnA] : 초짜 보건관리자 큐엔에이 / 간호사 출신 / TMI 대방출,홍성애,보건관리자,유튜브,https://www.youtube.com/watch?v=cCMEFcrqRVI,https://talliapp.com/image?num_images=308,2022-04-24 00:00:00,2023-06-06 22:23:44
